inscripcionCursoSN,¿Donde me puedo inscribir a un curso?,
inscripcionCurso,¿Donde me puedo inscribir al curso de [curso:curso](Manejo y Exploración de Datos)?,
prerrequitosCursoSN,¿Que prerequisitos necesito para un curso?,
prerrequitosCurso,¿Que prerequisitos necesito para el curso [curso:curso](Bebidas alcoholicas fermentadas)?,
informacionCurso,¿De que se trata el curso [curso:curso](Economía de Recursos Naturales)?,
profesorCurso,¿Quien esta a cargo del curso [curso:curso](Educación para una alimentación saludable)?,
profesorCurso,¿Quien dirige el curso [curso:curso](salud reproductiva)?,
profesorCurso,¿Quien es el tutor a cargo del curso [curso:curso](justo tiempo)?,
profesorCurso,¿Que docente esta a cargo del curso [curso:curso](Introducción a la programación)?,
temasCurso,¿Que temas se van a tratar en el curso [curso:curso](Producción audiovisual)?,
temasCurso,¿Que contenidos se van a tratar en el curso [curso:curso](exploracion datos)?,
competenciasCurso,¿Que competencias obtendre del curso [curso:curso](Uso de las TIC)?,
duracionCurso,¿Que duracion tiene el curso de [curso:curso](Prevención integral de consumo)?,
duracionCurso,¿Cuanto dura el curso de [curso:curso](Microbiología Ambiental y Agrícola)?,
duracionCursoSN,¿Que duracion tiene un curso?,
duracionCursoSN,¿Cuanto demora un curso?,
fechaInicioCurso,¿Cuando inicia el curso [curso:curso](lp-ed3)?,
fechaInicioCurso,¿Cuando comienza el curso [curso:curso](emprendimiento y generacion de ideas)?,
fechasInscripcionCurso,¿Cuando inician las inscripciones al curso de [curso:curso](emprendimiento)?,
fechasInscripcionCurso,¿Cuando me puedo inscribir al curso de [curso:curso](plantas ancestral)?,
fechaFinCurso,¿Cuando finaliza el curso de [curso:curso](Economía a tu alcance)?,
fechaFinCurso,¿Cuando termina el curso de [curso:curso](Ciencia datos)?,
esfuerzoCurso,¿Cuanto esfuerzo tengo que dedicarle al curso [curso:curso](Manejo y análisis de bases de datos)?,
esfuerzoCurso,¿Cuanto tiempo tengo que dedicarle al curso [curso:curso](Antropología Básica)?,
competenciasCurso,¿Que conocimientos adquirire del curso [curso:curso](JIT-Ed8)?,
